ID,Agency_Name,Agency_Suburb,Agency_Postcode,Agency_Reg_Date,Pref_loc,Url,Lat,Lng,Address,Phone
11,Housing Choices Australia,Melbourne,3000,27/02/2019,Inner Metro South,http://www.housingchoices.org.au/,-37.81032249,144.9588779,"Level 3, 350 Queen Street, Melbourne 3000",1300 312 447
12,HousingFirst,Melbourne,3004,13/02/2019,Inner Metro South,https://housingfirst.org.au/,-37.84402817,144.9775799,"Suite 3.01, Level 3, 492 St Kilda Road, Melbourne 3004",03 9534 5837
13,Inner East Social Housing Group,Kew,3101,25/03/2019,Box Hill,https://www.ieshg.com.au/,-37.80946574,145.0309986,"Level 1, 1 Civic Drive, Kew VIC 3101",03 9853 7501
14,Launch Housing,Collingwood,3066,12/04/2019,Inner Metro East,https://www.launchhousing.org.au/,-37.80450052,144.9849027,"68a Oxford Street, Collingwood VIC 3066",03 9288 9600
15,Mallee Accomodation Support Group,Mildura,3500,10/12/2018,,http://www.masp.org.au/index.php,-34.1852493,142.1565798,140 Langtree Avenue Mildura 3500,03 5021 6500
16,Northcote Rental Housing Co-operative,Northcote,3070,11/07/2019,Inner Metro East,http://nrhc.coop/,-37.77037213,145.0054843,"138 Separation Street, Northcote 3070",03 9482 5998
17,Northern Geelong Rental Housing Cooperative,North Geelong,3215,29/11/2018,Geelong North,http://www.ngrhc.org.au/,-38.11902617,144.3497674,"46 Roseneath Street, North Geelong 3215",03 5277 9993
18,Prahran Malvern Community Housing,South Yarra,3141,15/11/2019,Inner Metro South,https://pmch.org.au/,-37.8467252,144.9977838,"Shop 2/1 Surrey Road, South Yarra 3141",03 9826 5194
19,Salvation army Housing,Blackburn South,3130,29/10/2018,Box Hill,http://www.salvationarmy.org.au/en/Find-Us/Victoria/Salvation-Army-Housing,-37.81885204,145.1550121,"95 to 99 Railway Road, Blackburn South 3130",03 8878 2320
20,Servants Community Housing,Hawthorn,3122,27/11/2018,Box Hill,http://www.servants.org.au/,-37.81849986,145.0221674,"36 Barton Street, Hawthorn 3122",03 9819 6073
21,South Port Community Housing Group,South Melbourne,3205,03/12/2018,Inner Metro South,http://www.spchg.org.au/,-37.83355843,144.9592403,"259 Dorcas Street, South Melbourne 3205",03 9696 1128
22,St Kilda Community Housing,St Kilda,3182,14/02/2019,Inner Metro South,https://stkch.org.au/,-37.85933139,144.9842513,"102 St Kilda Road, St Kilda 3182",03 9534 1809
23,Sunshine/St Albans Rental Housing Cooperative Ltd,Deer Park,3023,05/12/2018,Keilor and St Albans,https://www.sunrhc.org.au/,-37.76220528,144.7684888,"67 Dumfries St, Deer Park 3023",03 9363 7514
24,SouthEast Housing Cooperative,Dandenong,3175,25/03/2019,Dandenong,https://sehc.org.au/,-37.98650578,145.2152452,"Level 3, 26-36 McCrae Street, Dandenong VIC 3175",03 9706 8005
25,Unison Housing,Melbourne,3000,26/11/2018,Inner Metro South,https://www.unison.org.au/,-37.80291511,144.9583396,"660 Elizabeth Street, Melbourne 3000",03 9349 0250
26,Uniting Housing Australia,Melbourne,3000,04/02/2019,Inner Metro South,https://unitinghousing.org.au/,-37.81331421,144.9693786,"130 Little Collins Street, Melbourne 3000",03 9251 5960
27,United Housing Co-operative,Yarraville,3013,30/05/2019,Altona,http://www.unitedhousing.org.au/,-37.8158704,144.8912761,"1A Ballarat Street, Yarraville VIC 3013",03 9689 8157
28,VincentCare Community Housing,Melbourne,3000,07/03/2019,Inner Metro South,https://vincentcare.org.au/,-37.81957051,144.9586586,"2/452 Flinders Street, Melbourne 3000",03 9611 9200
29,YWCA Housing,South Melbourne,3205,21/12/2020,Inner Metro South,https://www.ywcahousing.org.au/,-37.82999193,144.9638497,"Level 1, 210 Kings Way, South Melbourne 3205",03 8341 8700
30,Wayss,Dandenong,3175,04/02/2019,Dandenong,https://www.wayssltd.org.au/,-37.98548553,145.2126913,"294-300 Thomas Street, Dandenong 3175",03 9791 6111
31,West Turk Housing & Elderly Services Co-operative Ltd,Sunshine,3020,06/01/2021,Sunshine,https://www.westturkhousing.org.au/,-37.78615722,144.8331257,"Level 5, 12 Clarke Street Sunshine 3020",03 9454 9922
32,Williamstown Rental Housing Co-operative,Newport,3015,04/02/2019,Altona,http://williamstownhousingcoop.org.au/,-37.84568323,144.8725501,"41 Challis Street, Newport 3015",03 9391 9267
33,Wintringham Housing,Flemington,3031,04/12/2018,Flemington,https://www.wintringham.org.au/,-37.78310235,144.9353839,"136 Mount Alexander Road, Flemington 3031",03 9376 1122
34,Womens Housing Ltd,Cremorne,3121,04/12/2018,Inner Metro East,http://womenshousing.com.au/,-37.82593361,144.9912474,"Suite 1, Level 1, 21 Cremorne Street, Cremorne 3121",03 9412 6868
35,Womens Property Initiatives,Melbourne,3000,04/02/2019,Inner Metro South,https://wpi.org.au/,-37.81877804,144.9600013,"Level 1, 22 William Street, Melbourne 3000",03 9664 7800
